iso3,region,year,population_total,population_female,population_male,life_expectancy,fertility_rate,birth_rate,death_rate,pop_growth_rate,sex_ratio,regional_dev_index,pop_diff
,More developed regions,2021,1284098.923,655670.771,628428.152,77.827,1.507,9.446,11.766,0,0,0,-277.69999999995343
,More developed regions,2022,1283776.665,655460.78,628315.885,78.875,1.477,9.173,11.06,0,0,0,-322.2579999999143
,LLDC: Europe,1991,6512.602,3442.494,3070.109,68.819,2.282,17.791,9.351,0,0,0,-2.235000000000582
,LLDC: Europe,1992,6488.234,3427.599,3060.635,68.112,2.236,17.301,9.96,0,0,0,-24.367999999999483
,LLDC: Europe,1993,6455.093,3408.916,3046.177,68.165,2.162,16.655,10.218,0,0,0,-33.14100000000053
,LLDC: Europe,1994,6427.122,3395.2,3031.923,67.838,2.072,15.883,10.604,0,0,0,-27.97099999999955
,LLDC: Europe,1995,6412.745,3389.088,3023.657,67.913,1.926,14.693,10.715,0,0,0,-14.377000000000407
,LLDC: Europe,1996,6400.208,3382.523,3017.686,67.975,1.826,13.914,10.983,0,0,0,-12.537000000000262
,LLDC: Europe,1997,6381.293,3372.696,3008.597,68.157,1.835,14.02,10.98,0,0,0,-18.914999999999964
,LLDC: Europe,1998,6356.283,3359.892,2996.391,68.396,1.733,13.289,10.87,0,0,0,-25.00999999999931
,LLDC: Europe,1999,6326.302,3343.762,2982.54,68.824,1.631,12.584,10.752,0,0,0,-29.981000000000677
,LLDC: Europe,2000,6292.219,3324.747,2967.472,69.116,1.623,12.61,10.816,0,0,0,-34.08299999999963
,LLDC: Europe,2001,6256.071,3304.68,2951.391,69.384,1.562,12.243,10.794,0,0,0,-36.14800000000014
,LLDC: Europe,2002,6217.413,3284.308,2933.106,69.405,1.565,12.384,11.054,0,0,0,-38.65800000000036
,LLDC: Europe,2003,6176.831,3263.922,2912.909,69.577,1.573,12.601,11.129,0,0,0,-40.581999999999425
,LLDC: Europe,2004,6133.25,3241.407,2891.843,69.767,1.544,12.561,11.141,0,0,0,-43.58100000000013
,LLDC: Europe,2005,6078.475,3210.772,2867.703,69.968,1.517,12.498,11.217,0,0,0,-54.774999999999636
,LLDC: Europe,2006,6010.55,3171.769,2838.78,70.197,1.537,12.738,11.243,0,0,0,-67.92500000000018
,LLDC: Europe,2007,5933.368,3128.351,2805.017,70.372,1.568,13.025,11.375,0,0,0,-77.18199999999979
,LLDC: Europe,2008,5850.338,3082.213,2768.124,70.827,1.62,13.433,11.239,0,0,0,-83.03000000000065
,LLDC: Europe,2009,5766.809,3036.139,2730.67,71.134,1.698,14.011,11.176,0,0,0,-83.52899999999954
